Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01_TechnofestAdmin,Chrome 110.0.0.0,,,2023-02-10 12:12:23,2023-02-10 12:26:13,13m - 50.410s,FAILED
,,,,,,,
Test Cases/Auth/TC01-04_Login,Chrome 110.0.0.0,,,2023-02-10 12:12:24,2023-02-10 12:13:04,40.457s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-02-10 12:12:25,2023-02-10 12:12:31,5.809s,PASSED
"navigateToUrl(""https://technofest.stiki.ac.id/"")",Chrome 110.0.0.0,,,2023-02-10 12:12:31,2023-02-10 12:12:43,11.987s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-02-10 12:12:43,2023-02-10 12:12:43,0.269s,PASSED
"for ([i = 1, i <= 4, (i++)])",Chrome 110.0.0.0,,,2023-02-10 12:12:43,2023-02-10 12:13:03,19.969s,PASSED
"verifyElementText(findTestObject(""Auth/SuperAdmin""), ""SuperAdmin"")",Chrome 110.0.0.0,,,2023-02-10 12:13:03,2023-02-10 12:13:04,0.933s,PASSED
,,,,,,,
Test Cases/Dashboard/TC06_View statistik,Chrome 110.0.0.0,,,2023-02-10 12:13:04,2023-02-10 12:13:10,6.091s,PASSED
"click(findTestObject(""Dashboard/Dashboard""))",Chrome 110.0.0.0,,,2023-02-10 12:13:06,2023-02-10 12:13:07,1.422s,PASSED
"verifyElementText(findTestObject(""Dashboard/Active Project""), ""Active Project"")",Chrome 110.0.0.0,,,2023-02-10 12:13:07,2023-02-10 12:13:08,0.651s,PASSED
"verifyElementText(findTestObject(""Dashboard/Non-Active Project""), ""Non-Active Project"")",Chrome 110.0.0.0,,,2023-02-10 12:13:08,2023-02-10 12:13:09,0.642s,PASSED
"verifyElementText(findTestObject(""Dashboard/Total Speaker""), ""Total Speaker"")",Chrome 110.0.0.0,,,2023-02-10 12:13:09,2023-02-10 12:13:09,0.584s,PASSED
"verifyElementText(findTestObject(""Dashboard/Total Agenda""), ""Total Agenda"")",Chrome 110.0.0.0,,,2023-02-10 12:13:09,2023-02-10 12:13:10,0.640s,PASSED
"verifyElementText(findTestObject(""Dashboard/Project Statistics""), ""Project Statistics"")",Chrome 110.0.0.0,,,2023-02-10 12:13:10,2023-02-10 12:13:10,0.606s,PASSED
,,,,,,,
Test Cases/Setting/TC07_General setting,Chrome 110.0.0.0,,,2023-02-10 12:13:10,2023-02-10 12:13:18,8.012s,FAILED
"click(findTestObject(""Setting/General/Setting""))",Chrome 110.0.0.0,,,2023-02-10 12:13:12,2023-02-10 12:13:13,0.637s,PASSED
"click(findTestObject(""Setting/General/General""))",Chrome 110.0.0.0,,,2023-02-10 12:13:13,2023-02-10 12:13:16,3.049s,PASSED
"clearText(findTestObject(""Setting/General/Website title""))",Chrome 110.0.0.0,,,2023-02-10 12:13:16,2023-02-10 12:13:16,0.600s,PASSED
"setText(findTestObject(""Setting/General/Website title""), ""STIKI TECHNOFEST 6.0"")",Chrome 110.0.0.0,,,2023-02-10 12:13:16,2023-02-10 12:13:17,1.055s,PASSED
"clearText(findTestObject(""Setting/General/About""))",Chrome 110.0.0.0,,,2023-02-10 12:13:17,2023-02-10 12:13:18,0.961s,FAILED
,,,,,,,
Test Cases/Setting/TC08_View role,Chrome 110.0.0.0,,,2023-02-10 12:13:18,2023-02-10 12:13:23,4.860s,PASSED
"scrollToElement(findTestObject(""Setting/Role/logo""), 0)",Chrome 110.0.0.0,,,2023-02-10 12:13:20,2023-02-10 12:13:20,0.537s,PASSED
"click(findTestObject(""Setting/Role/Role""))",Chrome 110.0.0.0,,,2023-02-10 12:13:20,2023-02-10 12:13:21,1.184s,PASSED
"setText(findTestObject(""Setting/Role/Search""), ""admin"")",Chrome 110.0.0.0,,,2023-02-10 12:13:21,2023-02-10 12:13:22,0.952s,PASSED
"verifyElementText(findTestObject(""Setting/Role/Superadmin""), ""Superadmin"")",Chrome 110.0.0.0,,,2023-02-10 12:13:22,2023-02-10 12:13:23,0.962s,PASSED
,,,,,,,
